44 12
-0,149680 -0,058549 3,521238 1,138012 0,216433 3,298680 -1,408015 0,217034 3,204994 -0,146429 0,687719 3,448528
-0,147003 -0,046967 3,505272 1,138497 0,215998 3,318846 -1,402148 0,221102 3,192313 -0,142307 0,692699 3,436115
-0,150316 -0,048871 3,511590 1,137643 0,214217 3,306252 -1,406271 0,224380 3,200897 -0,142523 0,689011 3,436056
-0,144940 -0,057324 3,511395 1,144181 0,210327 3,295424 -1,411716 0,223034 3,240083 -0,138999 0,687831 3,449197
-0,148285 -0,052264 3,524670 1,146729 0,210650 3,324543 -1,416545 0,220941 3,235725 -0,138779 0,691512 3,449172
-0,151831 -0,058161 3,519785 1,146402 0,205062 3,300364 -1,401675 0,220365 3,205841 -0,150584 0,690028 3,461135
-0,151814 -0,052620 3,511832 1,131211 0,201219 3,304589 -1,401008 0,218411 3,197029 -0,142307 0,692699 3,436115
-0,147375 -0,053831 3,520077 1,136093 0,204485 3,283936 -1,409588 0,223941 3,202832 -0,142080 0,689093 3,435970
-0,146034 -0,057607 3,501361 1,130378 0,201870 3,290201 -1,418272 0,223276 3,257785 -0,142300 0,685424 3,435998
-0,153322 -0,050678 3,512833 1,139099 0,205557 3,301686 -1,420439 0,226699 3,258545 -0,139222 0,691431 3,449253
-0,147507 -0,050073 3,521889 1,155959 0,206958 3,350239 -1,407580 0,227838 3,214834 -0,147517 0,696095 3,474597
-0,148584 -0,048886 3,533554 1,139701 0,203820 3,302294 -1,410662 0,224869 3,221878 -0,139222 0,691431 3,449253
-0,151346 -0,049312 3,536767 1,141585 0,204006 3,331400 -1,412106 0,229168 3,209004 -0,139006 0,695132 3,449317
-0,146936 -0,055411 3,515371 1,132463 0,200680 3,298395 -1,406943 0,227178 3,237118 -0,138779 0,691512 3,449172
-0,149295 -0,048077 3,512434 1,138511 0,203130 3,264792 -1,409061 0,229821 3,210017 -0,142307 0,692699 3,436115
-0,148447 -0,050212 3,531766 1,131998 0,200505 3,289281 -1,404827 0,230251 3,194278 -0,139222 0,691431 3,449253
-0,146446 -0,053952 3,520216 1,136965 0,203307 3,313497 -1,404261 0,227274 3,191915 -0,138999 0,687831 3,449197
-0,146688 -0,049727 3,518126 1,141892 0,207412 3,320987 -1,404473 0,225974 3,193914 -0,139006 0,695132 3,449317
-0,146499 -0,050878 3,520622 1,132632 0,205246 3,265437 -1,410357 0,228383 3,245026 -0,143357 0,693756 3,461885
-0,141379 -0,049292 3,505397 1,137996 0,203104 3,278524 -1,406017 0,226341 3,196929 -0,135114 0,689121 3,436698
-0,142709 -0,052957 3,526873 1,139515 0,203282 3,324994 -1,406888 0,225691 3,197525 -0,142913 0,693837 3,461796
-0,146151 -0,055153 3,521839 1,141971 0,202303 3,306467 -1,404908 0,224962 3,193605 -0,147292 0,692470 3,474529
-0,147491 -0,046637 3,521097 1,138869 0,204184 3,292795 -1,408087 0,223231 3,215595 -0,147301 0,699821 3,474655
-0,144750 -0,054803 3,514642 1,153746 0,207845 3,334792 -1,409307 0,224169 3,204172 -0,147072 0,696177 3,474498
-0,140848 -0,047251 3,509960 1,136064 0,202634 3,306838 -1,403962 0,225879 3,189503 -0,139222 0,691431 3,449253
-0,148313 -0,057854 3,533346 1,146451 0,203281 3,302032 -1,402908 0,225546 3,193602 -0,147292 0,692470 3,474529
-0,146429 -0,057249 3,512544 1,139967 0,201483 3,314194 -1,401954 0,226372 3,206622 -0,147292 0,692470 3,474529
-0,148294 -0,050770 3,523323 1,141879 0,203206 3,301047 -1,405331 0,226238 3,191472 -0,147517 0,696095 3,474597
-0,146604 -0,048629 3,513192 1,143489 0,200288 3,302822 -1,409358 0,226413 3,207416 -0,142523 0,689011 3,436056
-0,150462 -0,042741 3,504582 1,162755 0,204475 3,346370 -1,408228 0,225866 3,220888 -0,139006 0,695132 3,449317
-0,146660 -0,048785 3,502862 1,135312 0,201830 3,292927 -1,408523 0,227733 3,193694 -0,139222 0,691431 3,449253
-0,148091 -0,055797 3,509738 1,132197 0,203588 3,266720 -1,406182 0,231395 3,196467 -0,150365 0,693721 3,461100
-0,148559 -0,044556 3,524177 1,147839 0,204148 3,309525 -1,406781 0,232110 3,194119 -0,139006 0,695132 3,449317
-0,148609 -0,059621 3,509055 1,137003 0,202803 3,284521 -1,402969 0,230640 3,191585 -0,145579 0,683032 3,422883
-0,143312 -0,049492 3,512456 1,144539 0,208347 3,324745 -1,410542 0,230508 3,195602 -0,142080 0,689093 3,435970
-0,149062 -0,053781 3,508207 1,135504 0,198495 3,270535 -1,412545 0,231117 3,228582 -0,138999 0,687831 3,449197
-0,143016 -0,043078 3,509098 1,137036 0,204465 3,318820 -1,404640 0,225917 3,187025 -0,147301 0,699821 3,474655
-0,147473 -0,049579 3,522865 1,140530 0,198542 3,322943 -1,407873 0,225467 3,199059 -0,139222 0,691431 3,449253
-0,149427 -0,055996 3,515374 1,148946 0,200992 3,328127 -1,407390 0,228910 3,191557 -0,138779 0,691512 3,449172
-0,147368 -0,048650 3,504433 1,155353 0,207648 3,297186 -1,406081 0,226296 3,190534 -0,147517 0,696095 3,474597
-0,145292 -0,049851 3,489567 1,135728 0,198521 3,297844 -1,409333 0,230129 3,205178 -0,142307 0,692699 3,436115
-0,142938 -0,046927 3,484826 1,142988 0,204281 3,279943 -1,406906 0,230379 3,196248 -0,147301 0,699821 3,474655
-0,148301 -0,056820 3,508606 1,136153 0,204365 3,293315 -1,407104 0,227705 3,189769 -0,138999 0,687831 3,449197
-0,141982 -0,052702 3,487703 1,151624 0,201507 3,338477 -1,404213 0,228892 3,185121 -0,142523 0,689011 3,436056
