51 12
-0,050131 -0,008241 3,445993 1,268258 0,302626 3,423816 -1,344695 0,291209 3,327838 -0,034765 0,687323 3,507761
-0,060074 0,002147 3,447310 1,263083 0,303422 3,487978 -1,346029 0,294314 3,305680 -0,034977 0,691004 3,507802
-0,062039 0,000039 3,455249 1,265318 0,298554 3,491919 -1,336613 0,290946 3,288692 -0,034977 0,691004 3,507802
-0,065042 -0,003214 3,443409 1,267442 0,300016 3,434716 -1,342263 0,296370 3,299410 -0,034977 0,691004 3,507802
-0,063179 -0,001150 3,440478 1,251469 0,297030 3,414030 -1,341203 0,292225 3,302943 -0,034977 0,691004 3,507802
-0,066037 0,002150 3,434741 1,267277 0,294256 3,436899 -1,336852 0,292912 3,298006 -0,034755 0,694735 3,507885
-0,066557 -0,000303 3,428649 1,264488 0,294600 3,496301 -1,344989 0,294075 3,296899 -0,031132 0,688622 3,494652
-0,066601 -0,001563 3,439306 1,259315 0,295842 3,445668 -1,348258 0,293274 3,307936 -0,034977 0,691004 3,507802
-0,065731 0,003026 3,435831 1,277332 0,290580 3,659083 -1,351830 0,293633 3,313259 -0,034977 0,691004 3,507802
-0,066466 0,004800 3,444076 1,257170 0,296558 3,422977 -1,350798 0,291180 3,282918 -0,042338 0,686191 3,481115
-0,064506 -0,003594 3,424302 1,258494 0,295834 3,418735 -1,348448 0,287356 3,285511 -0,034977 0,691004 3,507802
-0,062274 -0,006190 3,443764 1,253681 0,297988 3,412506 -1,349678 0,291591 3,316733 -0,034755 0,694735 3,507885
-0,065631 -0,004290 3,438182 1,253406 0,296348 3,444524 -1,347412 0,286142 3,294693 -0,042117 0,689895 3,481186
-0,062238 -0,003039 3,438799 1,250424 0,300504 3,406942 -1,352589 0,289032 3,295300 -0,042338 0,686191 3,481115
-0,065995 -0,001845 3,445205 1,251918 0,294270 3,396410 -1,352400 0,288483 3,285903 -0,034755 0,694735 3,507885
-0,067083 -0,006176 3,444340 1,250338 0,292014 3,476913 -1,346946 0,290023 3,291724 -0,041904 0,686222 3,481049
-0,066763 0,003607 3,438949 1,251528 0,292192 3,404418 -1,353321 0,287694 3,300815 -0,042117 0,689895 3,481186
-0,065437 0,003402 3,438491 1,273853 0,289696 3,704944 -1,354510 0,289758 3,300087 -0,042117 0,689895 3,481186
-0,066894 -0,002534 3,433392 1,246777 0,293959 3,410860 -1,353497 0,295395 3,309464 -0,042117 0,689895 3,481186
-0,067058 -0,000045 3,436259 1,254998 0,291901 3,528755 -1,348682 0,294580 3,288301 -0,042338 0,686191 3,481115
-0,069840 -0,000511 3,449337 1,251548 0,294615 3,437646 -1,342158 0,291878 3,291279 -0,042338 0,686191 3,481115
-0,069333 0,003208 3,438285 1,246077 0,287311 3,408777 -1,346614 0,292498 3,279958 -0,042117 0,689895 3,481186
-0,072365 -0,004010 3,442640 1,252430 0,291209 3,479009 -1,355794 0,293000 3,291014 -0,056923 0,686138 3,480427
-0,072117 0,002643 3,449660 1,241827 0,291576 3,426910 -1,348817 0,292704 3,283662 -0,049876 0,694659 3,507334
-0,073345 -0,003571 3,449044 1,254451 0,286813 3,595050 -1,360335 0,295352 3,289135 -0,053035 0,683797 3,467517
-0,076289 0,000658 3,433944 1,238380 0,292911 3,421125 -1,351707 0,296111 3,290800 -0,064991 0,694561 3,506659
-0,075238 0,001954 3,437688 1,257528 0,289105 3,578232 -1,371318 0,295341 3,291183 -0,049876 0,694659 3,507334
-0,076675 0,000445 3,433294 1,245985 0,290718 3,447606 -1,363123 0,294964 3,288847 -0,057358 0,686105 3,480523
-0,079623 0,001585 3,436644 1,241704 0,285967 3,426587 -1,360776 0,298541 3,277797 -0,057144 0,682452 3,480461
-0,080788 0,001625 3,430471 1,246639 0,280309 3,631540 -1,374913 0,302630 3,282135 -0,064991 0,694561 3,506659
-0,080456 -0,001471 3,435738 1,240623 0,283029 3,423585 -1,363710 0,296980 3,264041 -0,065211 0,690830 3,506607
-0,078583 -0,005267 3,431239 1,232888 0,287200 3,439091 -1,363746 0,302602 3,288419 -0,065208 0,698241 3,506733
-0,080442 0,000618 3,420293 1,234354 0,282273 3,426618 -1,380145 0,304302 3,314950 -0,061052 0,692178 3,493578
-0,081111 0,000075 3,433311 1,238654 0,283815 3,457631 -1,357184 0,298113 3,247561 -0,064991 0,694561 3,506659
-0,082014 0,005813 3,430280 1,231673 0,280978 3,449030 -1,359288 0,300484 3,291931 -0,064991 0,694561 3,506659
-0,082689 -0,004482 3,425741 1,230365 0,288501 3,439096 -1,377610 0,302141 3,287581 -0,057358 0,686105 3,480523
-0,077894 0,006118 3,436038 1,274520 0,270038 4,042592 -1,361787 0,300215 3,285081 -0,064991 0,694561 3,506659
-0,080754 -0,000349 3,427495 1,228667 0,282075 3,432406 -1,373463 0,299591 3,294145 -0,053469 0,683764 3,467605
-0,082725 0,003641 3,433554 1,247367 0,272578 3,532408 -1,362384 0,298911 3,285680 -0,064307 0,685022 3,454168
-0,081935 0,003727 3,423836 1,242066 0,274010 3,539958 -1,369699 0,301236 3,299409 -0,053249 0,687456 3,467664
