70 12
0,022678 0,048971 3,298736 0,408073 1,473317 3,215852 -0,350536 1,467071 3,178722 0,069166 0,838151 3,356922
0,021654 0,061541 3,305478 0,411801 1,471456 3,209809 -0,373047 1,452233 3,156234 0,061443 0,839735 3,332676
0,022104 0,056590 3,311320 0,406610 1,460637 3,191730 -0,394762 1,425171 3,134391 0,069193 0,845327 3,357003
0,020376 0,054892 3,300193 0,410348 1,469196 3,230557 -0,424413 1,392531 3,090412 0,068892 0,834585 3,356920
0,021958 0,052187 3,303356 0,407267 1,467079 3,224092 -0,450013 1,336082 3,064738 0,058175 0,844674 3,369606
0,019754 0,052708 3,312332 0,404958 1,465405 3,212412 -0,469283 1,282877 3,016462 0,065306 0,842523 3,344803
0,020494 0,053282 3,311506 0,407515 1,461325 3,204958 -0,476285 1,201101 2,976086 0,066270 0,840894 3,369037
0,017092 0,052241 3,302758 0,411250 1,467179 3,212845 -0,463052 1,104917 2,923952 0,054806 0,834616 3,357031
0,014889 0,058796 3,311064 0,414856 1,467797 3,207550 -0,436345 1,011404 2,897063 0,054560 0,838247 3,357208
0,012304 0,060284 3,306061 0,408539 1,473805 3,230443 -0,395206 0,917146 2,863697 0,055321 0,834466 3,356518
0,013325 0,054442 3,299168 0,406813 1,465526 3,217333 -0,362663 0,846531 2,864046 0,054806 0,834616 3,357031
0,011691 0,058022 3,300166 0,408671 1,466702 3,221285 -0,349316 0,811644 2,906590 0,048137 0,843846 3,381750
0,010424 0,060675 3,307734 0,411026 1,459094 3,205304 -0,370629 0,809833 2,931371 0,047890 0,847526 3,382023
0,006893 0,058790 3,301600 0,403258 1,458241 3,205133 -0,423347 0,820303 2,945178 0,047890 0,847526 3,382023
0,005288 0,057535 3,292013 0,403800 1,457625 3,184418 -0,501674 0,852690 2,940836 0,047616 0,843957 3,382124
0,016938 0,053360 3,308638 0,403540 1,468278 3,207750 -0,610964 0,896007 2,979874 0,055079 0,838139 3,356856
0,011789 0,063293 3,304743 0,413305 1,467406 3,207433 -0,738117 0,924692 3,017309 0,058175 0,844674 3,369606
0,017615 0,052270 3,317142 0,407353 1,454472 3,206285 -0,852975 0,924126 3,053224 0,054310 0,841857 3,357303
0,017711 0,058286 3,316161 0,422127 1,470166 3,196307 -0,948476 0,900239 3,032339 0,054310 0,841857 3,357303
0,017826 0,053659 3,329452 0,425281 1,446348 3,160101 -1,030834 0,860487 3,049881 0,054834 0,841792 3,357114
0,020551 0,054972 3,313728 0,433330 1,456314 3,207419 -1,078990 0,807428 3,049835 0,046375 0,832712 3,332865
0,017660 0,050571 3,313226 0,439949 1,464612 3,218669 -1,098519 0,750776 3,061656 0,046648 0,836275 3,332922
0,017571 0,050945 3,318688 0,438530 1,459524 3,203533 -1,088409 0,699323 3,045671 0,043435 0,835494 3,345062
0,014245 0,053964 3,310961 0,441510 1,463743 3,209199 -1,054826 0,646630 2,994107 0,039080 0,830760 3,308836
0,014527 0,051187 3,301624 0,440012 1,458396 3,203753 -0,986736 0,621032 2,988791 0,046899 0,832689 3,332823
0,010566 0,052237 3,294768 0,434559 1,461646 3,200201 -0,898305 0,606836 2,961228 0,043184 0,839092 3,345167
0,008047 0,053618 3,294636 0,435170 1,467233 3,194276 -0,808683 0,630611 2,938859 0,039330 0,827199 3,308732
0,010864 0,051609 3,293178 0,420693 1,459386 3,205065 -0,712614 0,667514 2,938156 0,043435 0,835494 3,345062
0,009639 0,059617 3,288161 0,411333 1,467503 3,206573 -0,618004 0,724759 2,913661 0,050467 0,839058 3,345076
0,009787 0,059999 3,291296 0,409387 1,467116 3,187665 -0,538028 0,802248 2,889144 0,054310 0,841857 3,357303
0,006256 0,047852 3,288595 0,389154 1,485348 3,222487 -0,492127 0,896830 2,919487 0,047616 0,843957 3,382124
0,008262 0,055608 3,295887 0,391732 1,455357 3,182676 -0,494026 0,984633 2,955163 0,054834 0,841792 3,357114
0,010201 0,059168 3,291960 0,390618 1,452976 3,174723 -0,546273 1,050622 3,008224 0,054585 0,845424 3,357290
0,009684 0,053487 3,301050 0,394319 1,450672 3,172954 -0,634786 1,088285 3,081263 0,047365 0,847593 3,382232
0,007813 0,051043 3,291474 0,399536 1,452769 3,181409 -0,729657 1,073690 3,124314 0,054310 0,841857 3,357303
0,011183 0,053138 3,297265 0,413564 1,447018 3,160712 -0,809928 1,027197 3,081611 0,054585 0,845424 3,357290
0,011038 0,059143 3,302296 0,421505 1,446760 3,178876 -0,877238 0,972137 3,085068 0,050742 0,842613 3,345058
0,006935 0,052172 3,296285 0,429671 1,455687 3,163863 -0,900777 0,921465 3,062045 0,046923 0,839818 3,332900
0,011183 0,054303 3,292320 0,443315 1,459760 3,190774 -0,899226 0,879483 3,052628 0,050467 0,839058 3,345076
0,011624 0,052802 3,292769 0,451058 1,465070 3,194780 -0,843250 0,830779 2,975991 0,050467 0,839058 3,345076
0,012395 0,057890 3,287761 0,464497 1,474262 3,213019 -0,779677 0,818795 2,969745 0,054310 0,841857 3,357303
0,007911 0,058284 3,284721 0,464714 1,470294 3,210765 -0,690880 0,810755 2,940626 0,050742 0,842613 3,345058
0,007788 0,060670 3,292094 0,456415 1,462062 3,187557 -0,582910 0,815053 2,931758 0,046923 0,839818 3,332900
0,005815 0,051160 3,285731 0,447103 1,468896 3,191232 -0,499893 0,830917 2,908721 0,054310 0,841857 3,357303
0,004338 0,052520 3,287260 0,442235 1,472271 3,207707 -0,440137 0,853081 2,905099 0,046899 0,832689 3,332823
0,007175 0,059468 3,289747 0,427326 1,464281 3,163456 -0,427996 0,886526 2,948529 0,054834 0,841792 3,357114
0,007411 0,047004 3,289313 0,421873 1,465919 3,182458 -0,466039 0,937085 2,988808 0,047616 0,843957 3,382124
0,013645 0,051220 3,278119 0,413078 1,451518 3,158261 -0,547029 0,984248 3,013083 0,054585 0,845424 3,357290
0,014480 0,056078 3,285255 0,394787 1,450194 3,126531 -0,656205 1,030240 3,067161 0,046923 0,839818 3,332900
0,017785 0,052903 3,289117 0,418473 1,466695 3,143886 -0,767464 1,055045 3,121853 0,054585 0,845424 3,357290
0,018151 0,053345 3,288357 0,413986 1,458078 3,163316 -0,860558 1,030552 3,119738 0,054585 0,845424 3,357290
0,018572 0,060091 3,277471 0,421840 1,449654 3,143090 -0,920419 0,967471 3,080590 0,054310 0,841857 3,357303
0,018299 0,051373 3,303021 0,442767 1,454124 3,156202 -0,991637 0,926868 3,134613 0,054560 0,838247 3,357208
0,017892 0,054584 3,286698 0,456717 1,455966 3,172328 -1,021325 0,861427 3,135917 0,054585 0,845424 3,357290
0,016983 0,049423 3,279988 0,462241 1,455808 3,174336 -1,050111 0,815582 3,148190 0,061691 0,836128 3,332513
0,018126 0,052585 3,291750 0,475979 1,468457 3,185837 -1,051087 0,773045 3,133820 0,054834 0,841792 3,357114
0,014827 0,054882 3,292095 0,480511 1,455478 3,168969 -1,038764 0,763719 3,144266 0,050467 0,839058 3,345076
0,017672 0,047949 3,286327 0,489439 1,466244 3,181563 -1,017369 0,776998 3,130184 0,054834 0,841792 3,357114
0,014457 0,052979 3,289418 0,480471 1,463551 3,176599 -0,979926 0,804978 3,074090 0,061417 0,832607 3,332600
0,020842 0,055644 3,285728 0,476198 1,483071 3,215135 -0,947150 0,875072 3,063285 0,054310 0,841857 3,357303
0,022908 0,052830 3,282870 0,459548 1,470724 3,159164 -0,894043 0,956771 3,053327 0,054585 0,845424 3,357290
0,022689 0,053281 3,288981 0,451827 1,473429 3,191842 -0,829653 1,047699 3,051442 0,054585 0,845424 3,357290
0,021358 0,053910 3,301717 0,438428 1,475118 3,182727 -0,756184 1,141974 3,072507 0,054585 0,845424 3,357290
0,021547 0,054125 3,301503 0,433321 1,474586 3,191416 -0,663901 1,218877 3,098980 0,058451 0,848253 3,369597
0,022786 0,049626 3,294689 0,419649 1,465464 3,170840 -0,580304 1,287894 3,101393 0,062590 0,847441 3,381805
0,017953 0,050254 3,289911 0,417795 1,469332 3,175616 -0,510276 1,346661 3,137577 0,062341 0,851100 3,381979
0,015409 0,058629 3,296286 0,414213 1,478973 3,191856 -0,452802 1,397292 3,151200 0,062065 0,847508 3,381983
0,017837 0,055235 3,298269 0,417678 1,476607 3,203336 -0,399310 1,439148 3,167399 0,062341 0,851100 3,381979
0,010866 0,050739 3,296714 0,420895 1,463236 3,171993 -0,344948 1,461234 3,183914 0,062065 0,847508 3,381983
0,007551 0,051707 3,305062 0,418015 1,460864 3,192033 -0,314758 1,463636 3,218157 0,062341 0,851100 3,381979
