31 12
-0,075602 -0,148343 3,421780 1,364223 0,264630 3,663966 -1,463540 0,086465 3,334286 -0,067935 0,559314 3,439213
-0,080028 -0,138390 3,417461 1,353256 0,263594 3,619749 -1,462566 0,090575 3,311858 -0,071637 0,560963 3,426323
-0,081112 -0,138886 3,428411 1,316755 0,275248 3,379108 -1,438978 0,094960 3,276930 -0,071269 0,561013 3,426222
-0,079228 -0,141850 3,401627 1,321823 0,268965 3,456515 -1,454022 0,097558 3,288647 -0,071269 0,561013 3,426222
-0,081756 -0,137367 3,406994 1,344025 0,261983 3,626871 -1,462552 0,104483 3,317463 -0,071452 0,564599 3,426368
-0,076912 -0,147008 3,413057 1,324131 0,268206 3,465611 -1,445357 0,097981 3,278860 -0,074768 0,559093 3,413350
-0,082698 -0,137723 3,412016 1,327968 0,267271 3,515096 -1,466794 0,101857 3,340685 -0,071452 0,564599 3,426368
-0,076865 -0,148466 3,405087 1,315820 0,278404 3,354273 -1,442195 0,096099 3,258722 -0,078431 0,553588 3,400604
-0,081062 -0,144107 3,401794 1,341926 0,259691 3,664052 -1,468404 0,098907 3,332458 -0,071269 0,561013 3,426222
-0,081787 -0,151882 3,412338 1,317671 0,278500 3,370996 -1,451968 0,090760 3,307752 -0,071456 0,557393 3,426262
-0,079537 -0,144665 3,404540 1,331486 0,276032 3,519969 -1,435789 0,092780 3,260313 -0,078245 0,557184 3,400558
-0,084380 -0,142548 3,397722 1,324872 0,278481 3,473095 -1,443759 0,088363 3,256211 -0,078245 0,557184 3,400558
-0,079485 -0,153875 3,404442 1,358945 0,270098 3,746544 -1,452097 0,090158 3,268597 -0,071456 0,557393 3,426262
-0,081131 -0,142173 3,396487 1,340850 0,273915 3,604890 -1,461670 0,088148 3,290429 -0,078245 0,557184 3,400558
-0,079776 -0,146306 3,393941 1,357421 0,275291 3,705315 -1,445789 0,084152 3,257756 -0,071456 0,557393 3,426262
-0,079614 -0,149527 3,390686 1,345283 0,273177 3,743979 -1,446582 0,083321 3,256465 -0,071456 0,557393 3,426262
-0,079400 -0,142993 3,396049 1,359921 0,275703 3,809865 -1,451229 0,084149 3,293753 -0,078428 0,560744 3,400707
-0,076049 -0,146124 3,403558 1,363233 0,274880 3,805869 -1,444989 0,084524 3,271051 -0,078793 0,560663 3,400648
-0,076810 -0,142943 3,390650 1,345704 0,281216 3,652802 -1,445472 0,090482 3,263774 -0,078245 0,557184 3,400558
-0,079012 -0,149841 3,394510 1,331049 0,280875 3,529676 -1,445819 0,094262 3,247031 -0,078245 0,557184 3,400558
-0,081594 -0,150649 3,403464 1,322634 0,289908 3,414849 -1,469178 0,095216 3,283187 -0,078612 0,557132 3,400668
-0,083467 -0,145494 3,392588 1,344801 0,265553 3,655617 -1,450817 0,105406 3,244116 -0,071452 0,564599 3,426368
-0,090335 -0,142037 3,401999 1,320118 0,273575 3,365194 -1,464101 0,117649 3,298462 -0,071452 0,564599 3,426368
-0,088335 -0,141419 3,402668 1,343412 0,245408 3,776012 -1,474761 0,118614 3,300732 -0,078245 0,557184 3,400558
-0,092743 -0,145323 3,405591 1,310023 0,263132 3,387440 -1,455538 0,120208 3,259222 -0,078245 0,557184 3,400558
-0,090970 -0,146685 3,383968 1,358185 0,254233 3,766762 -1,470849 0,123308 3,262785 -0,078245 0,557184 3,400558
-0,095016 -0,143610 3,399789 1,340056 0,251285 3,599233 -1,458649 0,119010 3,284818 -0,078428 0,560744 3,400707
-0,092163 -0,146980 3,394371 1,347573 0,240920 3,749396 -1,458095 0,122833 3,288733 -0,078428 0,560744 3,400707
-0,093872 -0,152374 3,397426 1,338308 0,249755 3,623583 -1,463885 0,121235 3,259931 -0,082321 0,555434 3,412970
-0,094091 -0,152057 3,393287 1,310489 0,255434 3,424479 -1,455980 0,121565 3,286250 -0,078612 0,557132 3,400668
-0,092096 -0,147156 3,396839 1,306054 0,264536 3,364826 -1,457156 0,121588 3,275253 -0,078245 0,557184 3,400558
