46 12
-0,102468 -0,209836 3,446932 1,277893 0,142646 3,390857 -1,447307 0,081142 3,325627 -0,088498 0,528358 3,529076
-0,102248 -0,211539 3,449762 1,292309 0,137680 3,453006 -1,445578 0,076888 3,299747 -0,073351 0,528460 3,529943
-0,103793 -0,201157 3,458728 1,294313 0,139580 3,436015 -1,440387 0,075643 3,274525 -0,080142 0,532181 3,503078
-0,102544 -0,212796 3,448572 1,295960 0,154977 3,424959 -1,433520 0,074904 3,258526 -0,073181 0,532205 3,530099
-0,103731 -0,215769 3,447874 1,298833 0,148603 3,433529 -1,433578 0,075744 3,296186 -0,080484 0,524756 3,502882
-0,102267 -0,217737 3,453506 1,264603 0,136875 3,355168 -1,438596 0,073785 3,272006 -0,076929 0,526602 3,516369
-0,104286 -0,205942 3,458328 1,294223 0,148982 3,444547 -1,433145 0,074584 3,261341 -0,069579 0,541510 3,543902
-0,100319 -0,215841 3,441380 1,305914 0,151782 3,462527 -1,428611 0,075512 3,271098 -0,073181 0,532205 3,530099
-0,104174 -0,207002 3,445916 1,277140 0,167867 3,396884 -1,441625 0,077403 3,300995 -0,080142 0,532181 3,503078
-0,103142 -0,200510 3,452368 1,280468 0,179389 3,393464 -1,434760 0,076786 3,271721 -0,072830 0,539653 3,530126
-0,101519 -0,207446 3,455710 1,277443 0,181741 3,371145 -1,435525 0,074854 3,256050 -0,073007 0,535936 3,530159
-0,097493 -0,201737 3,450807 1,322854 0,178524 3,484153 -1,435258 0,077211 3,299475 -0,080142 0,532181 3,503078
-0,101324 -0,223414 3,451679 1,288508 0,174994 3,418756 -1,445128 0,077470 3,300774 -0,073521 0,532093 3,529827
-0,104620 -0,213133 3,455081 1,262587 0,171724 3,361848 -1,437417 0,078069 3,292531 -0,073007 0,535936 3,530159
-0,102538 -0,210116 3,456871 1,280168 0,169997 3,406495 -1,439099 0,078525 3,290643 -0,073007 0,535936 3,530159
-0,102211 -0,217265 3,439617 1,308891 0,190594 3,439333 -1,434368 0,076948 3,248232 -0,069751 0,537750 3,543742
-0,100904 -0,210844 3,449568 1,314127 0,187085 3,449972 -1,426710 0,075063 3,257602 -0,080315 0,528475 3,503027
-0,101270 -0,211289 3,454652 1,284954 0,166272 3,380604 -1,443115 0,079859 3,310581 -0,073007 0,535936 3,530159
-0,102913 -0,207069 3,453777 1,288980 0,175178 3,425156 -1,439284 0,076617 3,280962 -0,073005 0,543332 3,530291
-0,097692 -0,200200 3,440071 1,286836 0,168175 3,410889 -1,435199 0,078641 3,253890 -0,076346 0,533994 3,490178
-0,102120 -0,220453 3,443295 1,305818 0,177139 3,430670 -1,435090 0,080210 3,265849 -0,080315 0,528475 3,503027
-0,107655 -0,209275 3,450399 1,298210 0,176566 3,413513 -1,425975 0,082379 3,238207 -0,073007 0,535936 3,530159
-0,103051 -0,213317 3,441754 1,272562 0,163232 3,413326 -1,433822 0,082509 3,262305 -0,076760 0,530334 3,516519
-0,098279 -0,208680 3,447077 1,262997 0,154595 3,345888 -1,439019 0,084330 3,296800 -0,073007 0,535936 3,530159
-0,102515 -0,208732 3,454934 1,274598 0,164254 3,375132 -1,433391 0,084080 3,242282 -0,073181 0,532205 3,530099
-0,107469 -0,208177 3,450571 1,283400 0,165413 3,414043 -1,434804 0,082053 3,250826 -0,080142 0,532181 3,503078
-0,105916 -0,204704 3,460499 1,278157 0,153896 3,416876 -1,435691 0,086763 3,253889 -0,079965 0,535872 3,503038
-0,105058 -0,203121 3,433926 1,285808 0,168209 3,370194 -1,450662 0,086031 3,289563 -0,073007 0,535936 3,530159
-0,104063 -0,211736 3,437803 1,267267 0,156657 3,377682 -1,440468 0,083551 3,260579 -0,076586 0,534052 3,516575
-0,107001 -0,211816 3,433360 1,269445 0,161576 3,364401 -1,440139 0,085886 3,262967 -0,080487 0,532097 3,503010
-0,109032 -0,215222 3,435325 1,299931 0,181414 3,431189 -1,443213 0,087379 3,274748 -0,080487 0,532097 3,503010
-0,106835 -0,203034 3,449575 1,257027 0,151491 3,368926 -1,442547 0,088322 3,271399 -0,080315 0,528475 3,503027
-0,106928 -0,208907 3,445676 1,296848 0,172988 3,433097 -1,435124 0,090782 3,259166 -0,077006 0,537786 3,543414
-0,103955 -0,216788 3,443181 1,291078 0,167991 3,397069 -1,438225 0,087368 3,262242 -0,080484 0,524756 3,502882
-0,109756 -0,206465 3,444719 1,290508 0,169016 3,406208 -1,439796 0,089268 3,275784 -0,073181 0,532205 3,530099
-0,110052 -0,207009 3,458731 1,272992 0,161177 3,361253 -1,437372 0,089681 3,262979 -0,080142 0,532181 3,503078
-0,109897 -0,204457 3,449811 1,302865 0,170516 3,441625 -1,444188 0,093534 3,299588 -0,080316 0,535817 3,503153
-0,106526 -0,206247 3,432508 1,306340 0,163501 3,436960 -1,437150 0,092183 3,285322 -0,085082 0,541523 3,570181
-0,108935 -0,198867 3,452364 1,288848 0,176158 3,414729 -1,436033 0,093980 3,269402 -0,080142 0,532181 3,503078
-0,110059 -0,213647 3,448428 1,289248 0,166134 3,381208 -1,427546 0,092374 3,251856 -0,076586 0,534052 3,516575
-0,109433 -0,207740 3,443541 1,271070 0,167799 3,361999 -1,435539 0,093238 3,249254 -0,080142 0,532181 3,503078
-0,109435 -0,215158 3,435387 1,310087 0,170285 3,448198 -1,448909 0,094066 3,300763 -0,084136 0,534003 3,516131
-0,110808 -0,206829 3,435967 1,303914 0,165745 3,436764 -1,436882 0,094366 3,285747 -0,073007 0,535936 3,530159
-0,104692 -0,212157 3,456279 1,296524 0,161051 3,430653 -1,437504 0,094087 3,260609 -0,076760 0,530334 3,516519
-0,111242 -0,211614 3,439749 1,267354 0,163435 3,366795 -1,438424 0,095117 3,262816 -0,080142 0,532181 3,503078
-0,107883 -0,208054 3,443088 1,321503 0,176290 3,463867 -1,446288 0,095841 3,318675 -0,080315 0,528475 3,503027
