72 12
-0,092537 -0,116811 3,311194 1,244355 0,138359 3,118587 -1,396960 0,179008 3,089553 -0,079992 0,575494 3,291239
-0,097308 -0,102736 3,319107 1,238376 0,136723 3,097652 -1,411903 0,179069 3,120521 -0,079778 0,592887 3,291261
-0,093881 -0,105893 3,327321 1,233800 0,135458 3,114370 -1,402747 0,179822 3,106228 -0,080178 0,585909 3,291449
-0,091559 -0,110436 3,323278 1,225768 0,138768 3,097451 -1,407284 0,180842 3,117076 -0,073204 0,586340 3,315521
-0,093503 -0,111921 3,316965 1,240240 0,137722 3,126796 -1,402649 0,181433 3,102766 -0,079986 0,582448 3,291317
-0,096421 -0,110029 3,316752 1,230729 0,138013 3,086953 -1,410947 0,185381 3,124939 -0,073396 0,589826 3,315652
-0,092483 -0,111745 3,316183 1,234483 0,137006 3,124097 -1,397306 0,181721 3,084872 -0,079986 0,582448 3,291317
-0,091092 -0,102500 3,322457 1,236603 0,143431 3,107307 -1,402713 0,184395 3,104849 -0,080178 0,585909 3,291449
-0,091408 -0,108909 3,326732 1,236714 0,139565 3,150113 -1,395989 0,184737 3,088904 -0,073396 0,589826 3,315652
-0,092471 -0,100374 3,324206 1,240306 0,130267 3,283458 -1,405886 0,185036 3,127706 -0,079980 0,589405 3,291394
-0,090397 -0,107624 3,319573 1,239587 0,141491 3,118206 -1,401734 0,182164 3,103293 -0,073396 0,589826 3,315652
-0,091076 -0,106453 3,322477 1,235182 0,143280 3,105495 -1,404829 0,180826 3,104301 -0,080178 0,585909 3,291449
-0,087768 -0,102583 3,324525 1,246239 0,131972 3,283331 -1,400087 0,181630 3,124533 -0,080178 0,585909 3,291449
-0,090145 -0,102211 3,317406 1,229839 0,137421 3,101099 -1,398198 0,182933 3,109758 -0,076798 0,587861 3,303514
-0,085468 -0,109199 3,324138 1,237144 0,138550 3,123095 -1,401187 0,181142 3,107848 -0,083776 0,584334 3,302962
-0,088097 -0,104595 3,313089 1,238464 0,138547 3,101934 -1,413885 0,217186 3,191824 -0,080178 0,585909 3,291449
-0,089088 -0,111431 3,319557 1,233308 0,139904 3,113106 -1,394235 0,179573 3,096585 -0,069781 0,588304 3,327736
-0,092308 -0,108125 3,328148 1,245683 0,140887 3,134325 -1,394978 0,183750 3,100846 -0,073396 0,589826 3,315652
-0,091028 -0,106497 3,327048 1,244078 0,133288 3,198807 -1,399567 0,183016 3,113490 -0,076798 0,587861 3,303514
-0,088596 -0,104227 3,330909 1,228142 0,144643 3,098389 -1,390576 0,183928 3,083029 -0,069974 0,591802 3,327867
-0,091484 -0,106813 3,325096 1,235497 0,139968 3,156560 -1,398772 0,195929 3,117189 -0,076798 0,587861 3,303514
-0,089523 -0,110553 3,348812 1,256908 0,128857 3,315445 -1,403920 0,187948 3,101357 -0,069974 0,591802 3,327867
-0,088716 -0,104418 3,345549 1,237760 0,137838 3,135827 -1,402752 0,186266 3,108246 -0,069974 0,591802 3,327867
-0,088819 -0,102088 3,337225 1,233261 0,132922 3,095328 -1,405711 0,184947 3,100072 -0,076798 0,587861 3,303514
-0,090889 -0,107255 3,329444 1,240096 0,136477 3,129178 -1,399753 0,183673 3,111095 -0,069974 0,591802 3,327867
-0,090417 -0,105532 3,341139 1,234792 0,137457 3,127861 -1,395978 0,181696 3,106927 -0,076798 0,587861 3,303514
-0,088787 -0,105459 3,337491 1,245622 0,123398 3,281632 -1,398871 0,181164 3,114784 -0,069974 0,591802 3,327867
-0,089844 -0,107931 3,334852 1,256856 0,127668 3,249910 -1,406089 0,182340 3,116992 -0,069974 0,591802 3,327867
-0,085485 -0,107444 3,321952 1,242974 0,133039 3,164389 -1,390112 0,178912 3,099595 -0,069974 0,591802 3,327867
-0,086640 -0,105168 3,340065 1,242175 0,135763 3,144112 -1,396515 0,182164 3,096362 -0,069974 0,591802 3,327867
-0,087029 -0,102751 3,323869 1,244460 0,131179 3,189322 -1,399585 0,180502 3,091197 -0,069774 0,595333 3,327820
-0,081539 -0,119196 3,326471 1,252609 0,127687 3,286478 -1,398884 0,183743 3,107743 -0,069979 0,584774 3,327781
-0,086324 -0,106183 3,337882 1,232526 0,135913 3,117230 -1,409518 0,183248 3,118126 -0,069781 0,588304 3,327736
-0,082297 -0,102940 3,333327 1,243190 0,134280 3,128890 -1,392456 0,185751 3,094728 -0,069974 0,591802 3,327867
-0,084236 -0,101191 3,331337 1,252834 0,135559 3,154482 -1,404457 0,182603 3,134784 -0,076993 0,584339 3,303488
-0,085007 -0,110057 3,332622 1,240855 0,132640 3,130904 -1,397199 0,181827 3,117036 -0,069979 0,584774 3,327781
-0,083187 -0,100802 3,331410 1,234562 0,135098 3,124840 -1,392193 0,178676 3,101881 -0,069974 0,591802 3,327867
-0,081633 -0,103223 3,342599 1,245986 0,136150 3,118645 -1,392219 0,180685 3,121948 -0,069774 0,595333 3,327820
-0,082329 -0,105798 3,336092 1,238768 0,136424 3,129183 -1,395398 0,181779 3,107663 -0,069974 0,591802 3,327867
-0,079203 -0,106025 3,327541 1,248189 0,126129 3,283067 -1,391524 0,180070 3,100364 -0,069781 0,588304 3,327736
-0,084658 -0,103374 3,341714 1,240375 0,137326 3,149173 -1,395083 0,179788 3,109259 -0,069974 0,591802 3,327867
-0,083585 -0,104739 3,340533 1,246109 0,138175 3,131229 -1,394540 0,179578 3,101737 -0,070170 0,588257 3,327832
-0,079066 -0,105939 3,336775 1,238664 0,141320 3,134935 -1,395015 0,180131 3,109366 -0,069974 0,591802 3,327867
-0,079786 -0,109382 3,337037 1,242854 0,137116 3,130316 -1,391812 0,176809 3,105793 -0,069781 0,588304 3,327736
-0,082622 -0,101837 3,335777 1,254360 0,140174 3,178904 -1,392731 0,176666 3,089622 -0,069974 0,591802 3,327867
-0,082788 -0,106607 3,329339 1,243342 0,136906 3,125655 -1,388723 0,172643 3,081695 -0,069979 0,584774 3,327781
-0,083224 -0,104915 3,335596 1,241830 0,136789 3,137321 -1,391510 0,174913 3,092909 -0,069781 0,588304 3,327736
-0,082375 -0,106929 3,340717 1,239882 0,134002 3,127291 -1,392372 0,175561 3,099960 -0,069781 0,588304 3,327736
-0,082885 -0,103472 3,339144 1,249695 0,138487 3,159619 -1,389724 0,173681 3,081968 -0,069581 0,591819 3,327610
-0,082019 -0,104005 3,331915 1,237390 0,138635 3,111546 -1,389088 0,173013 3,078473 -0,069581 0,591819 3,327610
-0,084710 -0,105642 3,325533 1,230709 0,138522 3,130466 -1,390709 0,175811 3,079103 -0,070362 0,584698 3,327718
-0,088265 -0,108646 3,333686 1,236614 0,138417 3,104156 -1,392030 0,175933 3,097734 -0,070170 0,588257 3,327832
-0,085131 -0,097750 3,333278 1,252722 0,131171 3,258238 -1,395078 0,178403 3,102155 -0,069974 0,591802 3,327867
-0,084855 -0,100688 3,345031 1,241611 0,129354 3,219297 -1,395542 0,181462 3,104694 -0,069974 0,591802 3,327867
-0,085669 -0,098011 3,328105 1,245332 0,129630 3,241789 -1,393881 0,179954 3,101464 -0,069974 0,591802 3,327867
-0,085667 -0,110987 3,330934 1,240998 0,138921 3,119607 -1,393730 0,178919 3,095950 -0,069781 0,588304 3,327736
-0,084115 -0,101345 3,335017 1,248158 0,132289 3,215052 -1,389939 0,179657 3,091905 -0,069974 0,591802 3,327867
-0,086173 -0,104096 3,321580 1,241972 0,135050 3,112351 -1,391097 0,179332 3,094747 -0,069974 0,591802 3,327867
-0,084614 -0,110337 3,334436 1,251813 0,127573 3,243731 -1,394929 0,181031 3,105795 -0,070170 0,588257 3,327832
-0,084872 -0,108169 3,327374 1,237822 0,136733 3,099161 -1,396969 0,180414 3,105660 -0,070362 0,584698 3,327718
-0,084699 -0,104805 3,341727 1,237191 0,135394 3,110160 -1,395505 0,179620 3,110894 -0,069789 0,581278 3,327651
-0,086152 -0,096851 3,334743 1,261843 0,132654 3,248476 -1,385396 0,179127 3,087618 -0,069774 0,595333 3,327820
-0,086416 -0,104713 3,323342 1,230615 0,137194 3,112661 -1,389179 0,197468 3,133175 -0,069781 0,588304 3,327736
-0,080855 -0,109252 3,339998 1,239501 0,132637 3,190606 -1,393181 0,175885 3,106971 -0,070362 0,584698 3,327718
-0,082010 -0,095960 3,329709 1,247373 0,134983 3,131653 -1,393473 0,173125 3,079222 -0,070170 0,588257 3,327832
-0,079249 -0,098991 3,338105 1,262450 0,115645 3,368812 -1,386003 0,172882 3,080492 -0,069974 0,591802 3,327867
-0,081655 -0,100779 3,326951 1,254625 0,134112 3,148120 -1,394397 0,174267 3,088839 -0,069974 0,591802 3,327867
-0,082588 -0,099712 3,337553 1,255280 0,128737 3,232619 -1,383620 0,171681 3,080056 -0,069974 0,591802 3,327867
-0,079058 -0,104707 3,328986 1,243192 0,136205 3,117321 -1,383795 0,170054 3,072749 -0,069974 0,591802 3,327867
-0,074068 -0,101130 3,323628 1,256044 0,126315 3,321213 -1,381000 0,170530 3,086260 -0,069979 0,584774 3,327781
-0,078432 -0,098945 3,335625 1,241139 0,135405 3,125929 -1,394632 0,172500 3,095605 -0,066000 0,593393 3,315983
-0,076430 -0,103192 3,332562 1,247596 0,135566 3,175593 -1,377607 0,172770 3,079250 -0,066199 0,589875 3,316027
